brand,seed,channel,planted,n,point_forest,ai_lo,ai_hi,ai_se,dr_ate,dr_se,ldml_ate,ldml_lo,ldml_hi,ldml_se,t_forest,t_ldml
Remibrutinib,1012,rep_training_score,0.0,3354,0.027530755376079446,-0.12358201483065363,0.1786435255828125,0.07709976826448499,0.023680769168466523,0.019556772355503405,0.03083434337869016,-0.0020990680782850997,0.06376775483566541,0.016803069707785348,2.9,1.2
Remibrutinib,1013,engagement_score,0.138,3354,0.15230425438387526,0.00011876201934377106,0.30448974674840673,0.07764708554061783,0.1685270489703292,0.02153839774689392,0.15783890807591996,0.123462350972537,0.19221546517930294,0.017539382036884793,2.8,1.3
Remibrutinib,1013,peer_influence_score,0.093,3354,0.11248757339453545,-0.05157472317246091,0.2765498699615318,0.08370679082217651,0.12164476291050642,0.026343174005636454,0.1113226946846934,0.07638268797310399,0.14626270139628278,0.017826861609290635,2.8,1.2
Remibrutinib,1013,rep_training_score,0.0,3354,-0.0024872023407571885,-0.15074943289183892,0.1457750282103245,0.07564538458414631,-0.0017876461835776391,0.019490102409194108,-0.004644004651365442,-0.03756816253866475,0.028280153235933858,0.016798348412012085,2.7,1.2
Remibrutinib,1014,engagement_score,0.138,3354,0.1367031556058648,-0.013190238318013497,0.28659654952974306,0.0764776260808251,0.15031076188291426,0.021783651637580902,0.1348164582150841,0.10046415552768698,0.16916876090248117,0.017527007107458956,2.6,1.2
Remibrutinib,1014,peer_influence_score,0.093,3354,0.11089332230361261,-0.04916164800441876,0.27094829261164394,0.0816621990546925,0.12763967043395283,0.027245705171253094,0.11591849972404483,0.08135146113899644,0.15048553830909323,0.017636568252125437,2.6,1.1
Remibrutinib,1014,rep_training_score,0.0,3354,-0.02672917358600898,-0.18368204763815202,0.130223700466134,0.08007946781274707,-0.03270356908148029,0.019177319553952483,-0.026616145684661054,-0.05901978677251378,0.005787495403191661,0.016532773736379087,2.7,1.1
Remibrutinib,1015,engagement_score,0.138,3354,0.16902764400942313,0.005098875962142924,0.33295641205670334,0.08363866277507148,0.16833838580759977,0.021148754248974583,0.16734728447240846,0.1331657617507989,0.20152880719401803,0.01743987287074102,2.6,1.1
Remibrutinib,1015,peer_influence_score,0.093,3354,0.08652013822993437,-0.07515586999603732,0.24819614645590604,0.08248927440808691,0.09649054871380763,0.024128658961438676,0.0887069931137891,0.05352901851956813,0.12388496770801007,0.01794827602532513,2.6,1.1
Remibrutinib,1015,rep_training_score,0.0,3354,-0.00048575283024066896,-0.15706843096504225,0.1560969253045609,0.07989058887551077,-0.005049956480585135,0.019411114698223625,-0.0020442458784448747,-0.035098316884520364,0.03100982512763061,0.016864631833442747,2.6,1.1
Remibrutinib,1016,engagement_score,0.138,3354,0.15214233042863742,-0.017009100250359982,0.32129376110763475,0.0863033355097325,0.16134153471967363,0.021570620369768503,0.15471823312611516,0.12061531442667009,0.1888211518255602,0.017399768040864284,2.5,1.1
